Name,Latitude,Longitude,Altitude,Coordinates,Location_name
frt0000a244,-77.2997,-9.1891,1000000,"
      -77.2997,-9.1891,100
      ",marineris2
frt0000a488,-65.1452,-11.4824,1000000,"
      -65.1452,-11.4824,100
      ",coprates
frt0000a91c,-79.4446,-8.5644,1000000,"
      -79.4446,-8.5644,100
      ",marineris2
frt0000a95b,-69.5671,-12.3643,1000000,"
      -69.5671,-12.3643,100
      ",marineris2
frt0000aa51,-77.1757,-8.9128,1000000,"
      -77.1757,-8.9128,100
      ",marineris2
frt0000643d,60.3405,-27.2363,1000000,"
      60.3405,-27.2363,100
      ",Nereidum
frt00006464,65.4812,-27.954,1000000,"
      65.4812,-27.954,100
      ",Nereidum
frt00008144,68.4971,-26.3767,1000000,"
      68.4971,-26.3767,100
      ",Nereidum
frt000085db,63.0993,-26.9005,1000000,"
      63.0993,-26.9005,100
      ",Nereidum
frt000092b4,66.5529,-25.3665,1000000,"
      66.5529,-25.3665,100
      ",Nereidum
frt00009422,60.0928,-27.4911,1000000,"
      60.0928,-27.4911,100
      ",Nereidum
frt0000947f,65.0708,-27.8746,1000000,"
      65.0708,-27.8746,100
      ",Nereidum
frt000096be,67.6649,-26.4635,1000000,"
      67.6649,-26.4635,100
      ",Nereidum
frt0000989c,65.7431,-27.6347,1000000,"
      65.7431,-27.6347,100
      ",Nereidum
frt00009cd7,69.7717,-27.143,1000000,"
      69.7717,-27.143,100
      ",Nereidum
frt0000c58a,68.503,-26.3648,1000000,"
      68.503,-26.3648,100
      ",Nereidum
frt0000c7a1,59.0281,-24.9469,1000000,"
      59.0281,-24.9469,100
      ",Nereidum
frt0000cb3a,66.5233,-25.6991,1000000,"
      66.5233,-25.6991,100
      ",Nereidum
frt0000cc60,63.8711,-25.7375,1000000,"
      63.8711,-25.7375,100
      ",Nereidum
frt0000ceb8,66.2019,-28.0483,1000000,"
      66.2019,-28.0483,100
      ",Nereidum
frt000064d9,74.2491,21.1522,1000000,"
      74.2491,21.1522,100
      ",nili_fossae
frt00007bc8,74.2084,21.3071,1000000,"
      74.2084,21.3071,100
      ",nili_fossae
frt0000805f,74.7658,21.7165,1000000,"
      74.7658,21.7165,100
      ",nili_fossae
frt00008530,74.3689,20.9461,1000000,"
      74.3689,20.9461,100
      ",nili_fossae
frt000088d0,75.1521,21.5451,1000000,"
      75.1521,21.5451,100
      ",nili_fossae
frt00008fc1,74.4877,21.0313,1000000,"
      74.4877,21.0313,100
      ",nili_fossae
frt00009971,74.6328,22.055,1000000,"
      74.6328,22.055,100
      ",nili_fossae
frt00009971,74.6328,22.055,1000000,"
      74.6328,22.055,100
      ",nili_fossae
frt0000a053,74.2743,22.4489,1000000,"
      74.2743,22.4489,100
      ",nili_fossae2
frt0000a4b5,74.4897,21.0179,1000000,"
      74.4897,21.0179,100
      ",nili_fossae2
frt0000b012,74.5898,21.0391,1000000,"
      74.5898,21.0391,100
      ",nili_fossae2
hrs0000b6a2,74.9114,22.3966,1000000,"
      74.9114,22.3966,100
      ",nili_fossae2
frt0000bbcb,72.6795,21.2391,1000000,"
      72.6795,21.2391,100
      ",nili_fossae2
frt0000c202,73.3759,21.2681,1000000,"
      73.3759,21.2681,100
      ",nili_fossae2
frt0000d6d6,73.2818,23.0837,1000000,"
      73.2818,23.0837,100
      ",nili_fossae2
frt0000d3a4,-47.5289,-13.333,1000000,"
      -47.5289,-13.333,100
      ",coprates2
frt0001c479,-47.5341,-13.2932,1000000,"
      -47.5341,-13.2932,100
      ",coprates2
frt0001c71b,-47.5419,-13.2627,1000000,"
      -47.5419,-13.2627,100
      ",coprates2
hrl000040ff,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
hrl000040ff,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt000047a3,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt000047a3,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt00005850,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt00005850,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt00005c5e,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt00005c5e,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt000066a4,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt000066a4,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
hrl00010963,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
hrl00010963,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
hrl000116c6,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
hrl000116c6,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0001c558,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0001c558,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0001ecba,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0001ecba,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0001fb74,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0001fb74,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt00021da6,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt00021da6,-77.58,-18.36,1000000,"-18.38,-77.58", jezero crater
frt0000b358,-77.58,-18.36,1000000,"-18.38,-77.59", jezero crater
